RA,DEC,max,min,med,avg,camera
-86.82,-61.56,2,0,1,1.084,2
-86.9,-9.793,0,0,0,0,nan
86.9,-64.71,12,11,11,11.157,4
-86.91,-52.64,2,0,1,1.026,1
-87.13,-5.56,0,0,0,0,nan
87.21,-68.76,12,11,11,11.309,4
87.23,-55.56,13,12,13,12.628,4
87.35,-61.2,13,12,12,12.246,4
87.4,-13.67,2,0,1,1.068,2
87.74,-57.03,13,12,13,12.569,4
-87.76,-62.46,2,0,1,1.097,2
87.81,-46.9,3,2,3,2.686,3
-87.82,-83.83,2,0,2,1.76,3
87.95,-73.09,13,12,12,12.369,4
87.98,-58.98,13,12,12,12.457,4
88.46,-56.5,13,12,13,12.591,4
88.52,-78.7,12,10,11,10.984,4
-88.62,-11.21,0,0,0,0,nan
88.94,-59.49,13,12,12,12.417,4
89.03,-67.33,9,8,8,8.157,4
89.08,-73.31,13,12,12,12.387,4
89.15,-62.18,13,12,12,12.057,4
89.17,-39.02,2,0,2,1.89,3
89.2,-60.85,13,12,12,12.276,4
89.25,-33.31,2,0,2,1.572,3
89.27,-62.82,12,11,12,11.894,4
-89.3,-36.92,1,0,1,0.872,1
89.47,-69.54,12,11,12,11.613,4
-89.68,-10.88,0,0,0,0,nan
90.01,-57.38,13,12,13,12.55,4
90.03,-75.53,13,12,13,12.539,4
90.13,-61.05,13,12,12,12.25,4
-90.38,-0.6412,0,0,0,0,nan
-90.39,-32.6,1,0,1,0.856,1
90.74,-63.47,12,11,12,11.665,4
90.77,-54.21,12,9,10,9.984,4
-90.81,-45.82,1,0,1,0.918,1
90.88,-43.2,3,2,2,2.236,3
90.9,-61.27,13,12,12,12.22,4
-90.91,-9.11,0,0,0,0,nan
91.18,-58.53,13,12,12,12.487,4
91.33,-0.06148,1,0,1,0.925,1
91.34,-21.26,2,0,1,1.202,2
91.48,-26.33,2,0,1,1.322,2
91.64,-25.1,2,0,1,1.29,2
91.69,-55.22,13,12,13,12.635,4
91.83,-49.85,5,2,3,3.481,3
91.92,-68.99,12,11,11,11.365,4
92.1,-66.45,9,8,8,8.057,4
-92.31,-15.27,0,0,0,0,nan
92.42,-22.63,2,0,1,1.231,2
92.63,-72.15,13,12,12,12.269,4
92.67,-71,13,12,12,12.091,4
92.72,-74.87,13,12,13,12.506,4
92.8,-58.98,13,12,12,12.461,4
92.82,-74.12,13,12,12,12.457,4
-92.85,-7.93,0,0,0,0,nan
92.92,-0.1628,1,0,1,0.925,1
93.2,-72.96,13,12,12,12.365,4
93.22,-79.38,9,6,9,8.427,4
93.27,-61.67,13,12,12,12.187,4
93.36,-58.62,13,12,12,12.487,4
93.42,-59.55,13,12,12,12.424,4
-93.55,-44.1,1,0,1,0.908,1
93.58,-55.65,13,12,13,12.624,4
93.66,-48.68,4,2,3,2.978,3
93.71,-57.81,13,12,13,12.535,4
-93.74,-49.52,1,0,1,0.944,1
93.9,-60.27,13,12,12,12.365,4
93.9,-69.82,12,11,12,11.839,4
94.03,-62.81,12,11,12,11.994,4
-94.07,-68.71,2,0,1,1.215,2
94.22,-58.58,13,12,12,12.494,4
94.25,-55.74,13,12,13,12.624,4
94.31,-56.3,13,12,13,12.606,4
94.31,-48.54,4,2,3,2.947,3
94.54,-50.05,5,2,3,3.538,3
94.6,-54.76,13,12,13,12.654,4
94.6,-68.02,12,11,11,11.198,4
94.76,-71.7,13,12,12,12.235,4
94.77,-60.16,13,12,12,12.387,4
94.79,-61.41,13,12,12,12.254,4
94.87,-51.4,5,4,5,4.672,3
94.88,-73.18,13,12,12,12.394,4
94.99,-1.882,1,0,1,0.937,1
95.07,-72.28,13,12,12,12.309,4
95.21,-47.56,3,2,3,2.764,3
95.38,-62.3,13,12,12,12.146,4
95.39,-30.83,2,0,2,1.462,3
95.44,-58.96,13,12,12,12.483,4
95.47,-65.46,12,11,11,11.331,4
-95.67,-73.47,2,0,1,1.331,2
95.71,-72.28,13,12,12,12.317,4
95.75,-62.51,13,12,12,12.124,4
95.92,-17.32,2,0,1,1.124,2
95.98,-17.06,2,0,1,1.119,2
95.99,-54.61,11,10,10,10.195,4
96.41,-59.41,13,12,12,12.465,4
96.48,-63.38,13,12,12,12.013,4
96.66,-26.52,2,0,1,1.321,2
96.71,-60.28,13,12,12,12.406,4
96.72,-64.05,12,11,12,11.902,4
-96.75,-68.33,2,0,1,1.207,2
96.82,-29.61,3,0,1,1.54,2
-96.91,-67.99,2,0,1,1.201,2
96.92,-38.1,2,0,2,1.813,3
97.1,-69.71,12,11,12,11.991,4
97.1,-60.57,13,12,12,12.387,4
-97.17,-45.09,1,0,1,0.915,1
97.38,-59.02,13,12,12,12.498,4
-97.51,-53.88,2,0,1,0.982,2
97.55,-57.77,13,12,13,12.561,4
97.63,-60.45,13,12,12,12.406,4
97.71,-60.75,13,12,12,12.387,4
97.81,-76.13,13,12,13,12.58,4
97.82,-61.42,13,12,12,12.328,4
97.85,-78.8,11,8,10,9.664,4
97.86,-59.11,13,12,12,12.498,4
97.99,-68.75,12,11,12,11.891,4
98.08,-56.62,13,12,13,12.609,4
98.11,-47.68,3,2,3,2.741,3
-98.36,-2.748,0,0,0,0,nan
98.43,-78.89,11,8,9,9.269,4
98.48,-72.94,13,12,12,12.409,4
98.86,-59.04,13,12,13,12.513,4
98.96,-15.55,2,0,1,1.092,2
99.01,-80.76,7,5,6,5.762,4
99.03,-65.67,12,11,12,11.902,4
99.05,-59.34,13,12,13,12.502,4
99.14,-59.88,13,12,12,12.472,4
99.26,-57.01,13,12,13,12.606,4
99.29,-61.61,13,12,12,12.35,4
99.32,-59.67,13,12,12,12.487,4
99.37,-68.64,12,11,12,11.998,4
99.4,-65.59,12,11,12,11.946,4
99.52,-61.47,13,12,12,12.369,4
99.66,-80.3,8,6,6,6.332,4
99.92,-57.31,13,12,13,12.598,4
-100.1,-65.67,2,0,1,1.157,2
100.1,-71.03,13,12,12,12.283,4
100.3,-60.95,13,12,12,12.424,4
100.4,-61.17,13,12,12,12.413,4
-100.8,-73.76,2,0,1,1.343,2
101.1,-59.73,13,12,13,12.509,4
101.5,-77.67,13,12,13,12.643,4
101.6,-55.22,10,8,9,9.06,4
101.6,-57.69,13,12,13,12.602,4
101.6,-77.61,13,12,13,12.643,4
101.7,-67.78,13,12,12,12.12,4
101.7,-55.36,11,8,9,9.375,4
101.9,-72.33,13,12,12,12.417,4
102.1,-63.34,13,12,12,12.313,4
102.3,-72.04,13,12,12,12.406,4
-102.4,-30.3,1,0,1,0.851,1
-102.8,-45.65,1,0,1,0.919,1
103.1,-53.75,7,5,6,5.871,4
103.1,-58.77,13,12,13,12.576,4
103.6,-54.72,8,6,7,7.051,4
103.6,-62.75,13,12,12,12.402,4
-103.6,-30.95,1,0,1,0.853,1
103.7,-43.17,3,0,2,1.688,3
103.7,-18.65,1,0,1,0.813,2
103.7,-22.42,2,0,1,1.208,2
-103.8,-65.45,2,0,1,1.156,2
104,-73.14,13,12,12,12.491,4
104,-72.07,13,12,12,12.439,4
-104.3,-6.862,0,0,0,0,nan
104.4,-58.2,13,12,13,12.613,4
104.5,-62.09,13,12,12,12.461,4
104.5,-76.11,13,12,13,12.609,4
104.5,-73.18,13,12,12,12.498,4
