RA,DEC,max,min,med,avg,camera
256.3,-80.31,2,0,2,1.587,3
256.5,-61.65,2,0,1,1.091,2
256.5,-61.65,2,0,1,1.091,2
258.9,-63.31,2,0,1,1.116,2
258.9,-63.31,2,0,1,1.116,2
259.1,-11.62,0,0,0,0,nan
259.1,-11.62,0,0,0,0,nan
259.1,-11.62,0,0,0,0,nan
260.3,-63.16,2,0,1,1.112,2
260.3,-63.16,2,0,1,1.112,2
260.4,-77.27,2,0,2,1.481,3
260.4,-77.27,2,0,2,1.481,3
260.4,-59.53,2,0,1,1.056,2
260.4,-59.53,2,0,1,1.056,2
262.3,-71.01,2,0,1,1.269,2
262.3,-71.01,2,0,1,1.269,2
262.7,-57.54,2,0,1,1.028,2
262.7,-57.54,2,0,1,1.028,2
263.3,-64.19,2,0,1,1.02,2
263.3,-64.19,2,0,1,1.02,2
263.3,64.19,0,0,0,0,nan
263.4,-56.47,2,0,1,1.013,2
263.4,-56.47,2,0,1,1.013,2
263.4,-56.47,2,0,1,1.013,2
265,-73.39,2,0,1,1.328,2
265,-73.39,2,0,1,1.328,2
265,-73.39,2,0,1,1.328,2
266.1,-67.7,2,0,1,1.194,2
266.1,-67.7,2,0,1,1.194,2
266.1,-61.18,2,0,1,1.078,2
266.1,-61.18,2,0,1,1.078,2
266.1,-61.18,2,0,1,1.078,2
268.7,-60.95,2,0,1,1.074,2
268.7,-60.95,2,0,1,1.074,2
268.7,-60.95,2,0,1,1.074,2
272.2,-70.98,2,0,1,1.266,2
272.2,-70.98,2,0,1,1.266,2
276.3,-62.59,2,0,1,1.101,2
276.3,-62.59,2,0,1,1.101,2
277.1,-48,1,0,1,0.933,1
277.1,-48,1,0,1,0.933,1
277.1,-48,1,0,1,0.933,1
277.5,-77.81,2,0,2,1.474,3
277.5,-77.81,2,0,2,1.474,3
277.9,-55.61,2,0,1,1.004,2
277.9,-55.61,2,0,1,1.004,2
278.1,-43.71,1,0,1,0.906,1
278.1,-43.71,1,0,1,0.906,1
278.1,-43.71,1,0,1,0.906,1
278.1,-43.71,1,0,1,0.906,1
278.1,-43.71,1,0,1,0.906,1
278.5,-76.79,3,0,1,1.523,2
278.5,-76.79,3,0,1,1.523,2
278.7,-20.43,0,0,0,0,nan
278.7,-20.43,0,0,0,0,nan
278.7,-20.43,0,0,0,0,nan
279,-66.38,2,0,1,1.17,2
279,-66.38,2,0,1,1.17,2
279.1,-31.13,1,0,1,0.853,1
279.1,-31.13,1,0,1,0.853,1
279.1,-31.13,1,0,1,0.853,1
279.1,-31.13,1,0,1,0.853,1
279.5,-73.62,2,0,1,1.337,2
279.5,-73.62,2,0,1,1.337,2
279.7,-57.87,2,0,1,1.033,2
279.7,-57.87,2,0,1,1.033,2
281.1,-72.67,2,0,1,1.313,2
281.1,-72.67,2,0,1,1.313,2
281.1,-72.67,2,0,1,1.313,2
281.1,72.67,0,0,0,0,nan
284,-59.72,2,0,1,1.062,2
284,-59.72,2,0,1,1.062,2
284.4,-40.57,1,0,0,0.3,1
284.4,-40.57,1,0,0,0.3,1
285.4,-32.5,1,0,1,0.858,1
285.4,-32.5,1,0,1,0.858,1
285.4,-32.5,1,0,1,0.858,1
285.4,-32.5,1,0,1,0.858,1
286.1,-75.41,3,0,1,1.467,2
286.1,-75.41,3,0,1,1.467,2
286.1,-75.41,3,0,1,1.467,2
286.5,-62.2,2,0,1,1.102,2
286.5,-62.2,2,0,1,1.102,2
286.7,-20.44,0,0,0,0,nan
286.7,-20.44,0,0,0,0,nan
286.7,-20.44,0,0,0,0,nan
286.7,-20.44,0,0,0,0,nan
286.7,-20.44,0,0,0,0,nan
286.9,-61.53,2,0,1,1.093,2
286.9,-61.53,2,0,1,1.093,2
287,-59.9,2,0,1,1.068,2
287,-59.9,2,0,1,1.068,2
287.1,-64.2,1,0,1,0.796,2
287.1,-64.2,1,0,1,0.796,2
287.8,-73.11,2,0,1,1.333,2
287.8,-73.11,2,0,1,1.333,2
288.6,-29.93,1,0,1,0.852,1
288.6,-29.93,1,0,1,0.852,1
289.2,-64.84,2,0,1,0.775,2
289.2,-64.84,2,0,1,0.775,2
290,-58.11,2,0,1,1.046,2
290,-58.11,2,0,1,1.046,2
290,-58.11,2,0,1,1.046,2
290.1,-46.84,1,0,1,0.931,1
290.1,-46.84,1,0,1,0.931,1
292.8,-57.05,2,0,1,1.035,2
292.8,-57.05,2,0,1,1.035,2
292.8,-59.02,2,0,1,1.062,2
292.8,-59.02,2,0,1,1.062,2
292.8,-59.02,2,0,1,1.062,2
298.3,-70.71,2,0,1,1.292,2
298.3,-70.71,2,0,1,1.292,2
298.3,-70.71,2,0,1,1.292,2
302,-42.9,1,0,1,0.916,1
302,-42.9,1,0,1,0.916,1
302,-42.9,1,0,1,0.916,1
302.9,-64.61,2,0,1,1.173,2
302.9,-64.61,2,0,1,1.173,2
310.2,-77.93,2,0,2,1.56,3
310.2,-77.93,2,0,2,1.56,3
310.2,-77.93,2,0,2,1.56,3
310.2,-77.93,2,0,2,1.56,3
316.9,-18.05,0,0,0,0,nan
