Semi-column delimated list
--------------------------------------------------------
Format     Meaning                                  Units
f          KOI number
f          New detections flag: 0, 1 or 2
f          TTV frequency                            [*10^-4 d^-1]
f          TTV frequency positive (+) uncertainty   [*10^-4 d^-1]
f          TTV frequency negative (-) uncertainty   [*10^-4 d^-1]
f          TTV period          [d]
f          Delta chi^2
f          Cumulative Chi^2 area test
f          Cumulative Chi^2 single-point test
f          Cumulative Chi^2 RMS test
f          Cumulative Chi^2 correlation test
f          TTV amplitude               [min]
f          TTV amplitude positive (+) uncertainty   [min]
f          TTV amplitude negative (-) uncertainty   [min]
f          TTV reference time          [KBJD]
f          TTV reference time positive (+) uncertainty   [d]
f          TTV reference time negative (-) uncertainty   [d]
f          Confidence
f          STD / median error ratio
Sub-list of other significant frequencies:
     If no other significant frequencies were found
           char       literal string of "--"
     If up to five other significant frequencies were identified
           f, f ....  list of frequencies (comma separated). If more than one than the list of encapsulated in square brackets "[" "]"
           char       literal "+/-"
           f          other TTV frequencies (rough) uncertainty
     If more than five other significant frequencies were identified
           (>5)       literal string
f          Stroboscopic frequency                   [*10^-4 d^-1]
f, f, ...  Comma-separated sub-list of previous references
char       Comment
2712.01      ; 1                  ;      18.43   ;      +0.26                ;      -0.30                    ;   543;    155                      ;      0.433         ;     -9.299         ;      7.438         ;      0.973         ;      14.05  ;      +0.61               ;      -0.67                   ;      298.3      ;       +8.5                   ;       -8.7                       ;  0.999           ;  2.38        ;  --           ;        564  ;         ; ; 
2720.01      ; 0                  ;      12.58   ;      +0.03                ;      -0.39                    ;   795;   1596                      ;      0.644         ;    -17.648         ;    153.220         ;      0.961         ;      45.28  ;      +0.26               ;      -0.54                   ;        462      ;         +1                   ;        -13                       ; 1                ;  2.57        ; 39.4 +/-3.8          ;        923  ; 1        ; ; 
2728.01      ; 1                  ;      36.45   ;      +0.44                ;      -0.42                    ;   274;     74                      ;      0.366         ;    -10.220         ;      8.435         ;      0.873         ;      11.46  ;      +1.08               ;      -0.84                   ;      235.6      ;       +7.9                   ;       -7.9                       ; 1                ;  1.39        ;  --           ;        148  ;         ; ; 
2768.01      ; 1                  ;      18.56   ;      +0.31                ;      -0.26                    ;   539;    103                      ;      1.730         ;     -4.151         ;     15.602         ;      0.974         ;       58.9  ;       +3.8               ;       -4.8                   ;      248.0      ;       +8.2                   ;       -9.4                       ; 1                ;  1.18        ;  --           ;        765  ;         ; Kepler-404 b, is there something there?; 
2775.01      ; 1                  ;       9.21   ;      +0.62                ;      -0.65                    ;  1086;     52                      ;      0.347         ;     -3.409         ;      4.864         ;      0.970         ;       16.0  ;       +2.2               ;       -1.9                   ;        187      ;        +36                   ;        -41                       ; 1                ;  1.55        ;  --           ;        121  ;         ; Bad linear fit?; 
2833.01      ; 1                  ;    2742.20   ;      +0.58                ;      -0.13                    ;     4;    483                      ;      1.268         ;     -4.167         ;     36.221         ;      0.990         ;      31.81  ;      +8.06               ;      -0.73                   ;    133.331      ;     +0.154                   ;     -0.020                       ; 1                ;  1.42        ; 94.7 +/-3.1          ;        386  ;         ; High freq. pulsations; 
2851.02      ; 1                  ;      131.4   ;       +0.8                ;       -1.7                    ;    76;     51                      ;      0.688         ;     -1.563         ;      5.876         ;      0.884         ;       13.6  ;       +2.4               ;       -2.8                   ;      383.3      ;       +8.6                   ;       -7.1                       ; 1                ;  1.38        ;  --           ;        526  ;         ; High freq. pulsations; 
2931.01      ; 0                  ;        8.2   ;       +1.1                ;       -3.0                    ;  1217;     24                      ;      0.441         ;     -4.592         ;      3.644         ;      0.946         ;       31.2  ;       +9.1               ;       -6.1                   ;       1191      ;       +339                   ;        -68                       ;  0.995           ;  1.20        ;  --           ;        35.  ;         ; ; 
2992.01      ; 0                  ;       38.7   ;       +0.9                ;       -2.6                    ;   258;     30                      ;      0.438         ;     -2.906         ;      3.232         ;      0.912         ;       33.1  ;       +6.5               ;       -8.4                   ;        310      ;        +17                   ;        -65                       ;  0.995           ;  1.04        ;  --           ;        35.  ;         ; ; 
3072.01      ; 2                  ;       4.66   ;      +1.51                ;      -0.71                    ;  2147;    101                      ;      0.225         ;     -2.705         ;      2.888         ;      0.960         ;         95  ;        +23               ;        -27                   ;       1390      ;       +212                   ;       -117                       ; 1                ;  1.09        ;  --           ;        7.0  ; 1        ; ; 
3194.01      ; 0                  ;     294.96   ;      +0.45                ;      -0.55                    ;    34;     33                      ;      0.260         ;     -3.828         ;      4.210         ;      0.884         ;       11.5  ;       +1.7               ;       -1.6                   ;      163.2      ;       +1.5                   ;       -1.4                       ;  0.994           ;  1.26        ;  --           ;        168  ;         ; ; 
3203.01      ; 0                  ;      41.00   ;      +0.46                ;      -0.63                    ;   244;     39                      ;      0.275         ;     -6.212         ;      3.766         ;      0.887         ;       17.1  ;       +6.0               ;       -4.3                   ;      139.2      ;      +10.9                   ;       -7.0                       ;  0.996           ;  1.40        ;  --           ;        6.1  ;         ; ; 
3204.01      ; 1                  ;    6676.79   ;      +0.13                ;      -0.14                    ;     1;   1125                      ;      0.300         ;     -5.591         ;     62.684         ;      0.998         ;       29.9  ;       +0.7               ;       -1.4                   ;    132.865      ;     +0.014                   ;     -0.014                       ; 1                ;  1.59        ; (>5)          ;        681  ;         ; High freq. pulsations; 
3220.01      ; 1                  ;      51.53   ;      +0.25                ;      -0.32                    ;   194;     62                      ;      0.739         ;    -11.174         ;     13.880         ;      0.738         ;       12.7  ;       +1.6               ;       -2.1                   ;      250.3      ;       +4.3                   ;       -4.7                       ;  0.999           ;  1.97        ;  --           ;        53.  ;         ; High freq. pulsations; 
3310.01      ; 0                  ;      68.00   ;      +0.61                ;      -0.61                    ;   147;     33                      ;      0.396         ;     -2.798         ;      2.903         ;      0.936         ;       19.9  ;       +2.3               ;       -3.6                   ;      232.7      ;       +5.3                   ;       -4.6                       ;  0.996           ;  1.17        ;  --           ;        373  ;         ; ; 
3345.01      ; 1                  ;      20.84   ;      +0.50                ;      -0.48                    ;   480;     45                      ;      0.730         ;     -2.049         ;      2.874         ;      0.953         ;         84  ;        +12               ;        -12                   ;        530      ;        +14                   ;        -14                       ;  0.999           ;  1.15        ;  --           ;        24.  ;         ; ; 
3469.01      ; 0                  ;      44.30   ;      +0.86                ;      -0.71                    ;   226;     39                      ;      0.446         ;     -4.721         ;      3.018         ;      0.849         ;        9.6  ;       +2.7               ;       -2.0                   ;        165      ;        +14                   ;        -14                       ;  0.997           ;  1.13        ;  --           ;        60.  ;         ; ; 
3481.01      ; 2                  ;       5.12   ;      +1.11                ;      -0.72                    ;  1953;     96                      ;      0.941         ;     -1.217         ;      4.454         ;      0.989         ;        440  ;       +133               ;       -142                   ;        710      ;        +19                   ;        -43                       ; 1                ;  1.14        ;  --           ;        222  ; 1        ; ; 
3496.01      ; 0                  ;      53.53   ;      +0.52                ;      -0.63                    ;   187;     54                      ;      0.269         ;     -4.731         ;      4.865         ;      0.918         ;       24.1  ;       +4.0               ;       -3.0                   ;        309      ;         +8                   ;        -12                       ;  0.995           ;  1.31        ;  --           ;        109  ;         ; ; 
3680.01      ; 0                  ;        6.2   ;       +2.3                ;       -1.1                    ;  1621;     20                      ;      0.157         ;     -3.946         ;      1.146         ;      0.988         ;       1.84  ;      +0.56               ;      -0.65                   ;       1580      ;       +139                   ;       -261                       ;  0.997           ;  1.17        ;  --           ;        16.  ;         ; ; 
3681.01      ; 0                  ;      14.91   ;      +0.41                ;      -0.44                    ;   671;     39                      ;      0.481         ;     -8.428         ;      5.727         ;      0.925         ;       1.65  ;      +0.31               ;      -0.31                   ;        295      ;        +20                   ;        -20                       ;  0.997           ;  1.66        ;  --           ;        10.  ;         ; ; 
3794.01      ; 1                  ;      21.28   ;      +0.38                ;      -0.42                    ;   470;     21                      ;      0.329         ;     -3.381         ;     18.845         ;      0.941         ;       1.40  ;      +0.12               ;      -0.13                   ;      450.2      ;       +7.8                   ;       -9.6                       ; 1                ;  1.72        ; [241.9, 446.2, 868.3, 877.3] +/-6.9          ;        150  ;         ; Erratic depth; 
3805.01      ; 1                  ;     17.089   ;     +0.048                ;     -0.044                    ;   585;   7427                      ;      0.424         ;   -928.691         ;    752.202         ;      0.927         ;      13.13  ;      +0.14               ;      -0.15                   ;      496.7      ;       +1.1                   ;       -1.0                       ; 1                ; 12.22        ; 74.0 +/-2.8          ;        139  ;         ; High freq. pulsations; 
3810.01      ; 1                  ;     3800.0   ;       +7.2                ;       -7.8                    ;     3;    209                      ;      0.123         ;     -4.505         ;      2.204         ;      0.979         ;       1.41  ;      +0.19               ;      -0.19                   ;    542.577      ;     +0.108                   ;     -0.088                       ; 1                ;  1.17        ;  --           ;        605  ;         ; bad linear fit; 
3815.01      ; 0                  ;     825.21   ;      +1.11                ;      -0.65                    ;    12;     83                      ;      0.287         ;     -2.365         ;      2.731         ;      0.934         ;       1.41  ;      +0.28               ;      -0.26                   ;     364.15      ;      +1.24                   ;      -0.36                       ;  0.995           ;  1.55        ;  --           ;        197  ;         ; ; 
3854.01      ; 1                  ;       4.37   ;      +0.80                ;      -0.58                    ;  2286;    393                      ;      0.263         ;     -5.655         ;     27.878         ;      0.967         ;       16.4  ;       +3.7               ;       -3.9                   ;       1260      ;        +57                   ;        -37                       ; 1                ;  1.06        ; [15.8, 23.3, 4197.8] +/-2.4          ;        242  ;         ; bad linear fit; 
3878.02      ; 0                  ;     204.63   ;      +0.62                ;      -0.62                    ;    49;     31                      ;      0.661         ;     -3.851         ;      3.236         ;      0.911         ;       18.0  ;       +3.5               ;       -3.5                   ;      171.1      ;       +1.7                   ;       -1.9                       ;  0.998           ;  1.12        ;  --           ;        372  ;         ; ; 
3936.01      ; 0                  ;        7.7   ;       +1.1                ;       -1.9                    ;  1291;     32                      ;      0.295         ;     -6.119         ;      3.500         ;      0.912         ;       14.0  ;      +10.2               ;       -3.2                   ;        823      ;        +24                   ;        -28                       ;  0.995           ;  1.33        ;  --           ;        17.  ;         ; ; 
4004.01      ; 0                  ;     184.48   ;      +0.49                ;      -0.84                    ;    54;     51                      ;      0.259         ;     -3.107         ;      4.663         ;      0.876         ;       7.50  ;      +1.07               ;      -0.85                   ;      183.5      ;       +1.6                   ;       -3.4                       ;  0.990           ;  1.25        ;  --           ;        187  ;         ; ; 
4007.01      ; 2                  ;        6.6   ;       +0.5                ;       -1.1                    ;  1518;    175                      ;      0.793         ;     -2.722         ;     12.284         ;      0.993         ;      105.5  ;      +19.6               ;       -9.0                   ;        380      ;        +47                   ;       -132                       ; 1                ;  1.17        ; 17.4 +/-2.8          ;        387  ; 1        ; ; 
4021.01      ; 0                  ;     613.71   ;      +0.76                ;      -0.63                    ;    16;     38                      ;      0.234         ;     -2.790         ;      2.636         ;      0.929         ;        8.1  ;       +2.1               ;       -2.2                   ;     136.51      ;      +0.74                   ;      -0.68                       ;  0.990           ;  1.12        ;  --           ;        120  ;         ; ; 
4034.01      ; 0                  ;        5.2   ;       +2.6                ;       -1.1                    ;  1922;     47                      ;      0.279         ;     -3.800         ;      4.820         ;      0.854         ;       14.5  ;       +5.6               ;       -3.7                   ;        430      ;       +141                   ;       -151                       ;  0.996           ;  1.23        ;  --           ;        137  ;         ; ; 
4066.01      ; 0                  ;       4.02   ;      +2.38                ;      -0.46                    ;  2489;     72                      ;      1.357         ;     -4.468         ;      4.951         ;      0.937         ;        105  ;        +44               ;        -56                   ;       -170      ;       +461                   ;       -116                       ; 1                ;  1.61        ;  --           ;        36.  ; 1        ; ; 
4193.01      ; 1                  ;      35.20   ;      +0.17                ;      -0.15                    ;   284;    290                      ;      0.323         ;    -39.715         ;     26.414         ;      0.975         ;       71.4  ;      +10.6               ;       -5.4                   ;      327.9      ;       +4.4                   ;       -3.3                       ; 1                ;  2.51        ; 47.0 +/-2.7          ;        5.0  ;         ; High freq. pulsations; 
4222.01      ; 1                  ;     668.70   ;      +0.41                ;      -0.41                    ;    15;     48                      ;      0.556         ;     -2.533         ;      4.262         ;      0.979         ;       12.2  ;       +1.7               ;       -1.6                   ;     139.63      ;      +0.39                   ;      -0.42                       ; 1                ;  1.12        ;  --           ;        202  ;         ; ; 
4251.01      ; 0                  ;       8.44   ;      +0.54                ;      -0.47                    ;  1185;     41                      ;      0.693         ;     -1.769         ;      1.649         ;      0.936         ;        9.2  ;       +3.3               ;       -1.3                   ;       1041      ;        +27                   ;        -43                       ;  0.991           ;  1.24        ;  --           ;        580  ;         ; ; 
4252.01      ; 0                  ;     143.47   ;      +0.58                ;      -0.57                    ;    70;     24                      ;      0.350         ;     -2.824         ;      3.724         ;      0.696         ;       19.0  ;       +2.8               ;       -3.1                   ;      152.1      ;       +3.9                   ;       -3.5                       ;  0.992           ;  1.17        ;  --           ;        26.  ;         ; ; 
4307.01      ; 2                  ;       1.76   ;      +0.22                ;      -0.14                    ;  5666;     47                      ;      0.856         ;     -3.435         ;      2.152         ;      0.964         ;       1080  ;       +118               ;       -306                   ;       1680      ;       +252                   ;       -207                       ;  0.999           ;  1.68        ; 25.6 +/-1.9          ;        42.  ; 1        ; ; 
4351.01      ; 1                  ;        4.5   ;       +1.2                ;       -1.0                    ;  2213;    474                      ;      0.127         ;     -2.381         ;      9.519         ;      0.988         ;       4.03  ;      +2.21               ;      -0.94                   ;        300      ;       +133                   ;       -195                       ; 1                ;  1.55        ; 7248.9 +/-2.4          ;        826  ;         ; Bad linear fit; 
4405.01      ; 0                  ;    490.059   ;     +0.544                ;     -0.045                    ;    20;    586                      ;      1.737         ;     -6.147         ;     28.465         ;      0.955         ;       88.5  ;       +5.7               ;       -7.5                   ;     141.38      ;      +0.84                   ;      -0.12                       ;  0.996           ;  2.67        ;  --           ;        441  ;         ; ; 
4509.01      ; 0                  ;      24.73   ;      +0.64                ;      -0.52                    ;   404;     36                      ;      0.960         ;     -2.026         ;      3.563         ;      0.988         ;       26.4  ;       +5.5               ;       -3.7                   ;        176      ;        +18                   ;        -19                       ;  0.998           ;  1.04        ;  --           ;        365  ;         ; ; 
4643.01      ; 0                  ;     670.44   ;      +0.47                ;      -0.66                    ;    15;     44                      ;      0.487         ;     -1.522         ;      2.991         ;      0.946         ;       21.0  ;       +2.7               ;       -2.5                   ;     144.33      ;      +0.50                   ;      -0.59                       ;  0.994           ;  1.17        ;  --           ;        131  ;         ; ; 
4947.01      ; 1                  ;     652.01   ;      +0.13                ;      -0.16                    ;    15;    505                      ;      0.400         ;    -23.309         ;     86.281         ;      0.727         ;       25.5  ;       +1.2               ;       -1.1                   ;     140.11      ;      +0.13                   ;      -0.13                       ; 1                ;  2.79        ; (>5)          ;        32.  ;         ; Active star; 
4951.01      ; 1                  ;    2624.53   ;      +0.12                ;      -0.19                    ;     4;    791                      ;      0.411         ;    -19.000         ;    120.767         ;      0.803         ;         56  ;         +1               ;        -12                   ;     171.24      ;      +0.02                   ;      -0.11                       ; 1                ;  3.24        ; (>5)          ;        294  ;         ; Active star; 
4956.01      ; 1                  ;    120.712   ;     +0.072                ;     -0.075                    ;    83;   2080                      ;      0.409         ;    -21.813         ;    374.001         ;      0.844         ;      305.8  ;       +6.3               ;       -7.1                   ;     202.84      ;      +0.42                   ;      -0.42                       ; 1                ;  2.82        ; (>5)          ;        122  ;         ; Bad background filtering; 
4975.01      ; 1                  ;      51.11   ;      +1.39                ;      -0.77                    ;   196;     22                      ;      0.226         ;     -3.597         ;      2.699         ;      0.962         ;       14.2  ;       +2.6               ;       -3.0                   ;        264      ;        +21                   ;        -12                       ; 1                ;  1.05        ;  --           ;        45.  ;         ; ; 
5011.01      ; 1                  ;     107.20   ;      +0.36                ;      -0.35                    ;    93;     57                      ;      0.326         ;     -2.793         ;      9.391         ;      0.901         ;       3.50  ;      +0.42               ;      -0.39                   ;      198.9      ;       +2.5                   ;       -2.6                       ; 1                ;  1.56        ;  --           ;        250  ;         ; High freq. pulsations; 
5083.01      ; 0                  ;      61.25   ;      +0.50                ;      -0.49                    ;   163;     45                      ;      0.593         ;     -8.063         ;      6.601         ;      0.891         ;       23.5  ;       +2.0               ;       -3.1                   ;      185.8      ;       +6.5                   ;       -7.2                       ;  0.996           ;  1.35        ;  --           ;        63.  ;         ; ; 
5129.01      ; 0                  ;     2312.6   ;       +1.9                ;       -2.9                    ;     4;     45                      ;      0.162         ;     -1.954         ;      2.895         ;      0.950         ;       6.39  ;      +1.10               ;      -0.92                   ;     544.48      ;      +0.18                   ;      -0.28                       ;  0.998           ;  1.13        ;  --           ;        109  ;         ; ; 
5152.01      ; 1                  ;    3457.68   ;      +0.12                ;      -0.22                    ;     3;    242                      ;      0.608         ;     -7.481         ;     26.113         ;      0.970         ;       20.8  ;       +0.8               ;       -2.2                   ;    132.360      ;     +0.025                   ;     -0.069                       ; 1                ;  2.08        ; [4426.2, 4808.6] +/-3.1          ;        240  ;         ; High freq. pulsations; 
5171.01      ; 1                  ;   1214.230   ;     +0.072                ;     -0.070                    ;     8;   2196                      ;      0.210         ;    -73.426         ;    237.268         ;      0.931         ;      5.091  ;     +0.110               ;     -0.099                   ;    135.722      ;     +0.047                   ;     -0.053                       ; 1                ;  6.81        ; [6.9, 1433.9, 1477.2, 1649.4] +/-2.7          ;        937  ;         ; EB w/High freq. pulsations; 
5173.01      ; 1                  ;      51.57   ;      +0.47                ;      -0.50                    ;   194;     64                      ;      0.320         ;     -3.285         ;      6.580         ;      0.960         ;         89  ;        +10               ;        -11                   ;      301.3      ;       +4.2                   ;       -4.3                       ; 1                ;  1.48        ;  --           ;        91.  ;         ; High freq. pulsations; 
5218.01      ; 1                  ;    323.143   ;     +0.048                ;     -0.041                    ;    31;   3410                      ;      0.131         ;    -36.625         ;    252.312         ;      0.969         ;      18.70  ;      +0.29               ;      -0.29                   ;     139.70      ;      +0.11                   ;      -0.11                       ; 1                ;  5.72        ; (>5)          ;        624  ;         ; Heartbeat star?; 
5220.01      ; 1                  ;    2292.98   ;      +0.34                ;      -0.34                    ;     4;    174                      ;      0.230         ;     -5.408         ;     15.882         ;      0.892         ;       1.49  ;      +0.17               ;      -0.15                   ;     133.55      ;      +0.14                   ;      -0.13                       ;  0.999           ;  2.09        ;  --           ;        686  ;         ; High freq. pulsations; 
5274.01      ; 0                  ;      43.38   ;      +0.71                ;      -0.78                    ;   231;     47                      ;      0.632         ;    -10.956         ;      5.054         ;      0.964         ;       22.7  ;       +5.3               ;       -3.9                   ;        288      ;         +5                   ;        -14                       ;  0.993           ;  1.46        ;  --           ;        138  ;         ; ; 
5327.01      ; 0                  ;      369.1   ;       +3.9                ;       -3.7                    ;    27;     25                      ;      0.363         ;     -3.271         ;      2.177         ;      0.882         ;        7.5  ;       +1.7               ;       -2.0                   ;     1302.5      ;       +1.6                   ;       -1.1                       ;  0.990           ;  1.07        ;  --           ;        168  ;         ; ; 
5341.01      ; 0                  ;     313.77   ;      +0.13                ;      -0.18                    ;    32;    144                      ;      0.920         ;    -29.071         ;     17.011         ;      0.987         ;      11.69  ;      +0.22               ;      -0.31                   ;     152.59      ;      +0.26                   ;      -0.38                       ;  0.998           ;  2.14        ;  --           ;        113  ;         ; ; 
5373.01      ; 1                  ;     67.660   ;     +0.077                ;     -0.069                    ;   148;    405                      ;      0.209         ;    -31.935         ;     26.775         ;      0.964         ;       40.5  ;       +1.2               ;       -1.3                   ;      233.4      ;       +0.8                   ;       -1.1                       ;  0.999           ;  3.74        ; 91.1 +/-3.2          ;        179  ;         ; high freq. pulsations; 
5382.01      ; 1                  ;    164.787   ;     +0.060                ;     -0.043                    ;    61;   5927                      ;      0.586         ;   -224.975         ;    715.356         ;      0.919         ;      17.00  ;      +0.25               ;      -0.21                   ;     158.62      ;      +0.28                   ;      -0.17                       ; 1                ; 11.07        ; (>5)          ;        887  ;         ; high freq. pulsations; 
5411.01      ; 0                  ;    281.061   ;     +0.278                ;     -0.094                    ;    36;    344                      ;      1.659         ;     -2.931         ;      6.774         ;      0.955         ;        128  ;         +4               ;        -12                   ;     163.76      ;      +0.24                   ;      -0.54                       ;  0.996           ;  1.52        ;  --           ;        753  ;         ; ; 
5459.01      ; 1                  ;       7.31   ;      +0.65                ;      -0.68                    ;  1367;    176                      ;      0.847         ;    -10.499         ;      7.614         ;      0.902         ;       51.2  ;       +4.4               ;       -3.0                   ;        301      ;        +57                   ;        -65                       ;  0.999           ;  2.01        ;  --           ;        158  ;         ; High freq. pulsations; 
5569.01      ; 1                  ;     319.57   ;      +0.16                ;      -0.19                    ;    31;    490                      ;      0.433         ;    -11.957         ;     77.655         ;      0.640         ;       4.31  ;      +0.22               ;      -0.23                   ;     144.17      ;      +0.47                   ;      -0.48                       ; 1                ;  2.69        ; (>5)          ;        362  ;         ; High freq. pulsations; 
5752.01      ; 0                  ;    2080.79   ;      +1.61                ;      -0.54                    ;     5;     60                      ;      0.773         ;     -1.274         ;      4.384         ;      0.974         ;       11.4  ;       +1.1               ;       -1.1                   ;     135.98      ;      +0.40                   ;      -0.26                       ;  0.993           ;  1.55        ;  --           ;        783  ;         ; ; 
5802.01      ; 1                  ;     102.09   ;      +0.29                ;      -0.26                    ;    98;    168                      ;      0.354         ;     -3.876         ;     21.249         ;      0.788         ;      106.6  ;       +7.8               ;       -9.8                   ;      174.4      ;       +2.1                   ;       -2.3                       ; 1                ;  1.74        ; (>5)          ;        229  ;         ; bad filter - 1270, bad linear fit; 
5816.01      ; 0                  ;      28.76   ;      +0.45                ;      -0.21                    ;   348;    296                      ;      0.425         ;    -57.908         ;     19.102         ;      0.931         ;       36.0  ;       +4.6               ;       -3.1                   ;      324.1      ;       +7.3                   ;       -8.6                       ;  0.994           ;  3.38        ;  --           ;        95.  ;         ; ; 
5866.01      ; 0                  ;      10.09   ;      +0.68                ;      -0.33                    ;   991;    255                      ;      0.993         ;    -35.756         ;     25.546         ;      0.969         ;       40.0  ;       +1.6               ;       -3.6                   ;       1245      ;        +13                   ;        -40                       ; 1                ;  2.87        ;  --           ;        42.  ; 1        ; ; 
6130.01      ; 0                  ;     536.60   ;      +0.67                ;      -0.67                    ;    19;     29                      ;      0.581         ;     -1.666         ;      5.342         ;      0.815         ;        6.6  ;       +1.0               ;       -1.0                   ;     134.71      ;      +0.78                   ;      -0.67                       ;  0.994           ;  1.28        ;  --           ;        328  ;         ; ; 
6176.01      ; 1                  ;      12.70   ;      +7.71                ;      -0.45                    ;   787;      0                      ;        NaN         ;      0.000         ;        NaN         ;        NaN         ;        286  ;       +145               ;        -68                   ;        200      ;       +106                   ;       -379                       ; 1                ;  4.76        ;  --           ;        14.  ;         ; Bad background filtering; 
6181.01      ; 1                  ;    120.632   ;     +0.051                ;     -0.050                    ;    83;   4596                      ;      0.350         ;   -162.950         ;    635.667         ;      0.836         ;      37.73  ;      +0.66               ;      -0.66                   ;     201.25      ;      +0.28                   ;      -0.34                       ; 1                ; 11.41        ; (>5)          ;        54.  ;         ; high freq. pulsations; 
6194.01      ; 1                  ;      80.95   ;      +0.28                ;      -0.12                    ;   124;   1354                      ;      0.427         ;    -47.970         ;     96.524         ;      0.817         ;      203.1  ;       +7.8               ;       -6.6                   ;      184.1      ;       +2.3                   ;       -1.6                       ; 1                ;  5.12        ; 58.9 +/-2.4          ;        147  ;         ; high freq. pulsations; 
6263.01      ; 0                  ;     478.53   ;      +0.49                ;      -0.37                    ;    21;     60                      ;      0.400         ;     -2.448         ;      2.704         ;      0.952         ;       28.0  ;       +3.3               ;       -3.8                   ;     134.68      ;      +0.74                   ;      -0.77                       ;  0.990           ;  1.31        ;  --           ;        405  ;         ; ; 
6346.01      ; 1                  ;        7.4   ;       +1.1                ;       -1.2                    ;  1349;     90                      ;      1.502         ;     -1.097         ;      8.553         ;      0.971         ;        310  ;        +51               ;        -48                   ;        398      ;        +73                   ;        -51                       ; 1                ;  1.31        ;  --           ;        309  ;         ; ; 
6398.01      ; 0                  ;    451.261   ;     +0.019                ;     -0.014                    ;    22;   3034                      ;      0.662         ;   -321.354         ;    404.821         ;      0.651         ;      18.36  ;      +0.15               ;      -0.15                   ;    134.322      ;     +0.023                   ;     -0.022                       ;  0.998           ;  9.97        ;  --           ;        143  ;         ; ; 
6410.01      ; 1                  ;       4.26   ;      +1.20                ;      -0.89                    ;  2345;    110                      ;      0.353         ;     -1.201         ;     11.742         ;      0.944         ;        158  ;       +132               ;        -64                   ;       1790      ;       +330                   ;       -251                       ; 1                ;  1.34        ; 21.2 +/-3.1          ;        94.  ;         ; most $\Delta\chi^2$ in short time; 
6450.01      ; 1                  ;     328.81   ;      +0.16                ;      -0.18                    ;    30;    400                      ;      1.033         ;     -4.867         ;     59.718         ;      0.976         ;       57.4  ;       +3.9               ;       -3.5                   ;     138.31      ;      +0.40                   ;      -0.50                       ; 1                ;  2.02        ; (>5)          ;        785  ;         ; ; 
6600.01      ; 1                  ;     455.86   ;      +0.15                ;      -0.14                    ;    22;    334                      ;      0.495         ;     -7.351         ;     35.891         ;      0.918         ;       36.5  ;       +2.8               ;       -2.1                   ;     152.96      ;      +0.22                   ;      -0.29                       ; 1                ;  2.78        ; (>5)          ;        154  ;         ; ; 
6605.01      ; 1                  ;      13.99   ;      +0.47                ;      -0.66                    ;   715;    745                      ;      2.125         ;    -23.402         ;    115.395         ;      0.966         ;        154  ;         +5               ;        -12                   ;      617.9      ;      +14.3                   ;       -2.2                       ; 1                ;  3.68        ;  --           ;        10.  ;         ; high freq. pulsations; 
6672.01      ; 0                  ;    1444.63   ;      +0.69                ;      -0.76                    ;     7;     36                      ;      0.326         ;     -1.266         ;      3.066         ;      0.920         ;       12.1  ;       +2.2               ;       -3.0                   ;     133.36      ;      +0.36                   ;      -0.83                       ;  0.995           ;  1.04        ;  --           ;        360  ;         ; ; 
6906.01      ; 1                  ;   2656.385   ;     +0.023                ;     -0.021                    ;     4;  89922                      ;      2.082         ;   -189.203         ;  11517.610         ;      0.998         ;     195.58  ;      +0.60               ;      -0.67                   ;   132.0775      ;    +0.0050                   ;    -0.0067                       ; 1                ; 11.35        ; (>5)          ;        183  ;         ; high freq. pulsations; 
6913.02      ; 1                  ;    144.578   ;     +0.069                ;     -0.067                    ;    69;   1066                      ;      2.008         ;     -7.430         ;     88.620         ;      0.850         ;      113.2  ;       +2.3               ;       -1.8                   ;     163.87      ;      +0.31                   ;      -0.33                       ; 1                ;  2.19        ; (>5)          ;        414  ;         ; high freq. pulsations; 
6956.01      ; 0                  ;      20.52   ;      +0.83                ;      -0.84                    ;   487;     25                      ;      0.513         ;     -1.076         ;      2.331         ;      0.934         ;        134  ;        +26               ;        -30                   ;        465      ;        +19                   ;        -25                       ;  0.990           ;  1.36        ;  --           ;        234  ;         ; ; 
7038.01      ; 1                  ;     154.28   ;      +0.59                ;      -0.69                    ;    65;    471                      ;      0.280         ;     -1.364         ;      6.694         ;      0.966         ;         79  ;        +10               ;        -12                   ;      153.7      ;       +3.1                   ;       -4.1                       ; 1                ;  1.30        ; [237.4, 279.9] +/-3.8          ;        395  ;         ; bad filter ~168, ~260, ~444, ~630, ~906, ~1274; 
7127.01      ; 1                  ;    3575.67   ;      +0.28                ;      -0.22                    ;     3;    356                      ;      0.586         ;     -2.317         ;     18.787         ;      0.982         ;       32.2  ;       +1.4               ;       -1.5                   ;    133.284      ;     +0.038                   ;     -0.046                       ; 1                ;  1.41        ; [2200.8, 5297.7, 7221.0] +/-2.4          ;        902  ;         ; high freq. pulsations; 
7249.01      ; 1                  ;     135.52   ;      +0.23                ;      -0.23                    ;    74;    441                      ;      0.365         ;     -4.683         ;     50.137         ;      0.925         ;       72.1  ;       +3.7               ;       -3.9                   ;     197.10      ;      +1.02                   ;      -0.98                       ; 1                ;  1.86        ; (>5)          ;        828  ;         ; Bad background filtering; 
