Semi-column delimated list
--------------------------------------------------------
Format     Meaning                                  Units
f          KOI number
f          New detections flag: 0, 1 or 2
f          TTV frequency                            [*10^-4 d^-1]
f          TTV frequency positive (+) uncertainty   [*10^-4 d^-1]
f          TTV frequency negative (-) uncertainty   [*10^-4 d^-1]
f          TTV period          [d]
f          Delta chi^2
f          Cumulative Chi^2 area test
f          Cumulative Chi^2 single-point test
f          Cumulative Chi^2 RMS test
f          Cumulative Chi^2 correlation test
f          TTV amplitude               [min]
f          TTV amplitude positive (+) uncertainty   [min]
f          TTV amplitude negative (-) uncertainty   [min]
f          TTV reference time          [KBJD]
f          TTV reference time positive (+) uncertainty   [d]
f          TTV reference time negative (-) uncertainty   [d]
f          Confidence
f          STD / median error ratio
Sub-list of other significant frequencies:
     If no other significant frequencies were found
           char       literal string of "--"
     If up to five other significant frequencies were identified
           f, f ....  list of frequencies (comma separated). If more than one than the list of encapsulated in square brackets "[" "]"
           char       literal "+/-"
           f          other TTV frequencies (rough) uncertainty
     If more than five other significant frequencies were identified
           (>5)       literal string
f          Stroboscopic frequency                   [*10^-4 d^-1]
f, f, ...  Comma-separated sub-list of previous references
char       Comment
 168.03      ; 0                  ;      21.21   ;      +0.27                ;      -0.27                    ;   471;    125                      ;      0.620         ;     -1.957         ;      4.289         ;      0.979         ;       46.3  ;       +3.3               ;       -3.2                   ;      446.6      ;       +8.1                   ;       -7.5                       ; 1                ;  1.30        ;  --           ;        113  ; 1, 3, 6        ; Kepler-23 b; 
 177.01      ; 1                  ;     210.67   ;      +0.98                ;      -0.93                    ;    47;     35                      ;      0.515         ;     -2.466         ;      3.564         ;      0.971         ;       10.8  ;       +1.7               ;       -1.9                   ;      160.0      ;       +2.4                   ;       -2.3                       ;  0.999           ;  1.15        ;  --           ;        327  ;         ; ; 
 180.01      ; 0                  ;     374.88   ;      +0.69                ;      -0.70                    ;    27;     35                      ;      0.232         ;     -3.638         ;      3.081         ;      0.924         ;       2.45  ;      +0.50               ;      -0.53                   ;      154.9      ;       +1.5                   ;       -1.6                       ;  0.994           ;  1.22        ;  --           ;        616  ;         ; ; 
 200.01      ; 0                  ;        4.6   ;       +1.3                ;       -2.1                    ;  2179;     93                      ;      0.184         ;     -3.204         ;      3.475         ;      0.969         ;       0.71  ;      +1.38               ;      -0.19                   ;        280      ;       +153                   ;       -117                       ;  0.998           ;  1.35        ;  --           ;        335  ;         ; Kepler-74 b; 
 202.01      ; 2                  ;        6.9   ;       +1.1                ;       -2.2                    ;  1451;    151                      ;      0.216         ;     -2.256         ;      2.842         ;      0.982         ;      0.219  ;     +0.138               ;     -0.038                   ;       1091      ;        +46                   ;        -37                       ; 1                ;  1.23        ;  --           ;        126  ; 1        ; Kepler-412 b; 
 203.01      ; 0                  ;    1651.89   ;      +0.19                ;      -0.18                    ;     6;    758                      ;      0.454         ;     -8.965         ;     38.293         ;      0.758         ;      0.199  ;     +0.013               ;     -0.014                   ;    138.149      ;     +0.085                   ;     -0.098                       ; 1                ;  1.88        ; (>5)          ;        476  ; 1        ; Kepler-17 b; 
 209.01      ; 1                  ;      57.76   ;      +0.76                ;      -0.75                    ;   173;     31                      ;      0.239         ;     -4.687         ;      2.882         ;      0.925         ;       1.81  ;      +0.36               ;      -0.36                   ;      192.1      ;       +8.7                   ;       -7.2                       ;  0.999           ;  1.14        ;  --           ;        124  ;         ; Kepler-117 c; 
 209.02      ; 1                  ;     197.42   ;      +0.28                ;      -0.29                    ;    51;    198                      ;      0.145         ;    -10.380         ;     14.402         ;      0.979         ;       6.88  ;      +0.46               ;      -0.51                   ;      163.9      ;       +1.2                   ;       -1.1                       ; 1                ;  1.18        ; [58.7, 138.4] +/-2.8          ;        453  ;         ; Kepler-117 b; 
 217.01      ; 0                  ;    1036.41   ;      +0.45                ;      -0.39                    ;    10;    201                      ;      0.374         ;     -3.835         ;     13.041         ;      0.916         ;      0.311  ;     +0.035               ;     -0.034                   ;     136.39      ;      +0.29                   ;      -0.27                       ; 1                ;  1.54        ; [8.2, 999.8, 1011.5] +/-3.1          ;        282  ; 1        ; Kepler-71 b; 
 226.01      ; 0                  ;      16.88   ;      +0.34                ;      -0.30                    ;   592;     47                      ;      0.108         ;     -3.324         ;      3.585         ;      0.984         ;       9.13  ;      +0.99               ;      -0.91                   ;        179      ;        +12                   ;        -12                       ; 1                ;  1.09        ;  --           ;        741  ; 1        ; ; 
 232.04      ; 1                  ;       6.52   ;      +1.34                ;      -0.71                    ;  1533;     81                      ;      0.118         ;     -2.978         ;      2.788         ;      0.982         ;         78  ;        +22               ;        -19                   ;         16      ;       +129                   ;        -92                       ; 1                ;  1.13        ;  --           ;        112  ;         ; Kepler-122 e; 
 234.01      ; 1                  ;     108.43   ;      +0.51                ;      -0.35                    ;    92;     47                      ;      0.219         ;     -3.329         ;      2.523         ;      0.971         ;       5.39  ;      +0.74               ;      -0.93                   ;      176.7      ;       +3.5                   ;       -3.1                       ; 1                ;  1.14        ;  --           ;        506  ;         ; ; 
 244.01      ; 0                  ;      30.29   ;      +0.22                ;      -0.26                    ;   330;    149                      ;      0.279         ;    -11.352         ;     21.585         ;      0.921         ;      1.334  ;     +0.098               ;     -0.091                   ;      478.1      ;       +4.8                   ;       -5.3                       ; 1                ;  1.42        ;  --           ;        409  ; 1, 3, 6        ; Kepler-25 c; 
 244.02      ; 0                  ;      30.21   ;      +0.18                ;      -0.18                    ;   331;    350                      ;      0.065         ;    -12.518         ;     12.969         ;      0.991         ;       3.78  ;      +0.16               ;      -0.18                   ;      317.6      ;       +3.6                   ;       -4.2                       ; 1                ;  1.73        ; 20.6 +/-2.8          ;        491  ; 1, 3, 6        ; Kepler-25 b; 
 245.03      ; 1                  ;      69.86   ;      +0.15                ;      -0.14                    ;   143;    122                      ;        NaN         ;      0.000         ;        NaN         ;        NaN         ;       57.9  ;       +1.9               ;       -3.1                   ;      229.6      ;       +1.7                   ;       -1.1                       ; 1                ;  2.24        ; 303.2 +/-3.1          ;        137  ;         ; Kepler-37 b; 
 248.01      ; 0                  ;      27.21   ;      +0.17                ;      -0.17                    ;   368;    285                      ;      0.090         ;     -8.562         ;     12.791         ;      0.986         ;      10.69  ;      +0.54               ;      -0.60                   ;      444.7      ;       +4.0                   ;       -4.0                       ; 1                ;  1.19        ; 16.5 +/-2.4          ;        759  ; 1, 2, 3, 5        ; Kepler-49 b; 
 248.02      ; 0                  ;      27.76   ;      +0.21                ;      -0.20                    ;   360;    294                      ;      0.164         ;     -6.523         ;     11.316         ;      0.995         ;      19.01  ;      +0.93               ;      -0.94                   ;      258.4      ;       +4.9                   ;       -5.1                       ; 1                ;  1.25        ;  --           ;        52.  ; 1, 2, 3, 5        ; Kepler-49 c; 
 250.01      ; 0                  ;      13.28   ;      +0.18                ;      -0.18                    ;   753;    344                      ;      0.064         ;    -15.021         ;      9.497         ;      0.995         ;      10.15  ;      +0.47               ;      -0.49                   ;      603.8      ;       +5.8                   ;       -7.0                       ; 1                ;  1.20        ; 204.5 +/-2.4          ;        93.  ; 1, 4, 5        ; Kepler-26 b; 
 250.02      ; 0                  ;      13.26   ;      +0.25                ;      -0.27                    ;   754;    139                      ;      0.211         ;     -9.042         ;      9.548         ;      0.969         ;      11.16  ;      +0.79               ;      -0.83                   ;        216      ;        +18                   ;        -15                       ; 1                ;  1.13        ; 111.0 +/-2.8          ;        148  ; 1, 4, 5        ; Kepler-26 c; 
 260.02      ; 0                  ;      26.14   ;      +0.54                ;      -0.66                    ;   383;     39                      ;      0.545         ;    -13.142         ;      5.388         ;      0.885         ;        5.9  ;       +1.8               ;       -2.1                   ;        513      ;        +13                   ;        -23                       ;  0.994           ;  1.57        ;  --           ;        72.  ; 6        ; Kepler-126 d; 
 262.01      ; 0                  ;       9.74   ;      +0.12                ;      -0.11                    ;  1027;    934                      ;      0.333         ;    -13.964         ;    112.254         ;      0.972         ;       36.8  ;       +1.2               ;       -1.1                   ;      146.9      ;       +9.0                   ;       -8.2                       ; 1                ;  1.75        ;  --           ;        449  ; 1, 6        ; Kepler-50 b; 
