RA,DEC,max,min,med,avg,camera
-241.2,-65.81,13,12,13,12.643,4
-243.9,-57.35,6,4,5,4.876,3
-243.9,-57.35,6,4,5,4.876,3
-244.5,-68.55,13,12,13,12.58,4
-244.5,-68.55,13,12,13,12.58,4
-244.5,-68.55,13,12,13,12.58,4
-244.5,-68.55,13,12,13,12.58,4
-244.5,-68.55,13,12,13,12.58,4
-244.8,-66.38,13,12,13,12.587,4
-244.8,-66.38,13,12,13,12.587,4
-245.3,-3.67,1,0,1,0.933,1
-245.3,-3.67,1,0,1,0.933,1
-246.1,-58.83,8,6,8,7.481,4
-246.1,-58.83,8,6,8,7.481,4
-247.5,-69.06,13,12,13,12.531,4
-247.5,-69.06,13,12,13,12.531,4
-248.4,-45.42,2,1,1,1.499,3
-248.4,-45.42,2,1,1,1.499,3
-248.4,-61.16,13,12,13,12.62,4
-248.4,-61.16,13,12,13,12.62,4
-248.6,-70.02,13,12,13,12.517,4
-248.6,-70.02,13,12,13,12.517,4
-249.7,-72.86,13,12,13,12.557,4
-249.7,-72.86,13,12,13,12.557,4
-250.6,-78.31,9,6,8,8.109,4
-250.6,-78.31,9,6,8,8.109,4
-251.5,-27.94,2,0,1,1.321,2
-251.5,-27.94,2,0,1,1.321,2
-252.2,-70.94,13,12,12,12.465,4
-252.2,-70.94,13,12,12,12.465,4
-253.7,-71.44,13,12,12,12.454,4
-253.7,-71.44,13,12,12,12.454,4
-254.2,-78.04,12,9,10,9.984,4
-254.2,-78.04,12,9,10,9.984,4
-254.2,-78.04,12,9,10,9.984,4
-254.2,-78.04,12,9,10,9.984,4
-254.5,-56.06,10,7,9,8.553,4
-254.5,-56.06,10,7,9,8.553,4
255.2,-69.53,2,0,1,1.241,2
255.2,-69.53,2,0,1,1.241,2
255.2,-69.53,2,0,1,1.241,2
-256.7,-73.92,13,12,13,12.517,4
-256.7,-73.92,13,12,13,12.517,4
-256.8,-29.07,2,0,1,1.376,2
-256.8,-29.07,2,0,1,1.376,2
-256.9,-45.02,3,2,2,2.31,3
-256.9,-45.02,3,2,2,2.31,3
-257.9,-5.88,1,0,1,0.963,1
-257.9,-5.88,1,0,1,0.963,1
-258.3,-69.74,13,12,12,12.231,4
-258.3,-69.74,13,12,12,12.231,4
-258.3,-69.74,13,12,12,12.231,4
-258.7,-58.26,13,12,13,12.576,4
-258.7,-58.26,13,12,13,12.576,4
-258.8,-59.95,13,12,13,12.502,4
-258.8,-59.95,13,12,13,12.502,4
-259.8,-61.23,13,12,12,12.406,4
-259.8,-61.23,13,12,12,12.406,4
-260.4,-59.53,13,12,12,12.498,4
-260.4,-59.53,13,12,12,12.498,4
-260.9,-29.54,3,0,1,1.545,2
-260.9,-29.54,3,0,1,1.545,2
-262.7,-69.46,12,11,12,11.961,4
-262.7,-69.46,12,11,12,11.961,4
-262.9,-64.54,12,11,12,11.839,4
-262.9,-64.54,12,11,12,11.839,4
-263.1,-57.28,13,12,13,12.58,4
-263.1,-57.28,13,12,13,12.58,4
-264,-57.88,13,12,13,12.546,4
-264,-57.88,13,12,13,12.546,4
-264,-56.65,13,12,13,12.598,4
-264,-56.65,13,12,13,12.598,4
-264.3,-33.43,2,0,2,1.569,3
-264.3,-33.43,2,0,2,1.569,3
-264.8,-59.08,13,12,12,12.472,4
-264.8,-59.08,13,12,12,12.472,4
-264.9,-62.76,13,12,12,12.054,4
-264.9,-62.76,13,12,12,12.054,4
-264.9,-56.26,13,12,13,12.609,4
-264.9,-56.26,13,12,13,12.609,4
-265.5,-57.2,13,12,13,12.569,4
-265.5,-57.2,13,12,13,12.569,4
-266.1,-61.18,13,12,12,12.269,4
-266.1,-61.18,13,12,12,12.269,4
-266.9,-61.02,13,12,12,12.272,4
-266.9,-61.02,13,12,12,12.272,4
-266.9,-61.02,13,12,12,12.272,4
-266.9,-57.25,13,12,13,12.561,4
-266.9,-57.25,13,12,13,12.561,4
-268.2,-23.04,2,0,1,1.241,2
-268.2,-23.04,2,0,1,1.241,2
-268.2,-23.04,2,0,1,1.241,2
-268.3,-63.77,12,11,12,11.565,4
-268.3,-63.77,12,11,12,11.565,4
-268.6,-70.31,12,11,12,11.906,4
-268.6,-70.31,12,11,12,11.906,4
-268.7,-60.95,13,12,12,12.265,4
-268.7,-60.95,13,12,12,12.265,4
-268.8,-74.41,13,12,12,12.472,4
-268.8,-74.41,13,12,12,12.472,4
-272.1,-41.68,3,1,2,1.759,3
-272.1,-41.68,3,1,2,1.759,3
-272.2,-70.98,13,12,12,12.076,4
-272.2,-70.98,13,12,12,12.076,4
-272.4,-42.21,3,0,1,1.594,3
-272.4,-42.21,3,0,1,1.594,3
-272.8,-69.42,12,11,12,11.643,4
-272.8,-69.42,12,11,12,11.643,4
-273.6,-67.08,11,10,10,10.257,4
-273.6,-67.08,11,10,10,10.257,4
274.5,-50.43,1,0,1,0.95,1
274.5,-50.43,1,0,1,0.95,1
276.9,-54.11,2,0,1,0.985,2
276.9,-54.11,2,0,1,0.985,2
-277.1,-48,3,2,3,2.81,3
-277.1,-48,3,2,3,2.81,3
-277.5,-77.81,13,12,13,12.639,4
-277.5,-77.81,13,12,13,12.639,4
-277.7,-33.81,2,0,2,1.581,3
-277.7,-33.81,2,0,2,1.581,3
-278.1,-43.71,3,2,2,2.246,3
-278.1,-43.71,3,2,2,2.246,3
-278.5,-76.79,13,12,13,12.609,4
-278.5,-76.79,13,12,13,12.609,4
-280.6,-66.28,13,12,12,12.024,4
-280.6,-66.28,13,12,12,12.024,4
-280.7,-69.29,13,12,12,12.146,4
-280.7,-69.29,13,12,12,12.146,4
281,-51.05,1,0,1,0.957,1
281,-51.05,1,0,1,0.957,1
-281.5,-50.63,5,2,3,3.215,3
-281.5,-50.63,5,2,3,3.215,3
-281.7,-62.01,13,12,12,12.391,4
-281.7,-62.01,13,12,12,12.391,4
-281.7,-62.01,13,12,12,12.391,4
-281.8,-37.79,2,0,2,1.763,3
-281.8,-37.79,2,0,2,1.763,3
-281.8,-37.79,2,0,2,1.763,3
-281.9,-74.44,13,12,13,12.528,4
-281.9,-74.44,13,12,13,12.528,4
-282.2,-62.13,13,12,12,12.398,4
-282.2,-62.13,13,12,12,12.398,4
-282.6,-60,13,12,13,12.52,4
-282.6,-60,13,12,13,12.52,4
-283.9,-62.6,13,12,12,12.42,4
-283.9,-62.6,13,12,12,12.42,4
-284.4,-40.57,2,0,2,1.915,3
-284.4,-40.57,2,0,2,1.915,3
-284.4,-24.12,2,0,1,1.244,2
-284.4,-24.12,2,0,1,1.244,2
-284.6,-68.25,13,12,12,12.291,4
-284.6,-68.25,13,12,12,12.291,4
-285.2,-79.05,8,6,8,7.712,4
-285.2,-79.05,8,6,8,7.712,4
-286.3,-34.39,2,0,2,1.557,3
-286.3,-34.39,2,0,2,1.557,3
-286.3,-68.03,13,12,12,12.357,4
-286.3,-68.03,13,12,12,12.357,4
-286.8,-58.16,13,12,13,12.635,4
-286.8,-58.16,13,12,13,12.635,4
-287.1,-64.2,13,12,12,12.446,4
-287.1,-64.2,13,12,12,12.446,4
-287.2,-69.65,13,12,12,12.417,4
-287.2,-69.65,13,12,12,12.417,4
-287.2,-69.65,13,12,12,12.417,4
-287.2,-69.65,13,12,12,12.417,4
-287.2,-69.65,13,12,12,12.417,4
-287.3,-58.82,13,12,13,12.624,4
-287.3,-58.82,13,12,13,12.624,4
-287.8,-73.11,13,12,13,12.535,4
